Lançamento,Hora,Atual,Projeção,Anterior
27.10.2022,9:00,"8,7%","8,7%","8,9%"
30.09.2022,9:00,"8,9%",,"9,1%"
31.08.2022,9:00,"9,1%",,"9,3%"
29.07.2022,9:00,"9,3%","9,4%","9,8%"
30.06.2022,9:00,"9,8%",,"10,5%"
31.05.2022,9:00,"10,5%",,"11,1%"
29.04.2022,9:00,"11,1%","11,4%","11,2%"
31.03.2022,14:30,"11,2%",,"11,2%"
18.03.2022,9:00,"11,2%","11,4%","11,1%"
24.02.2022,9:00,"11,1%",,"11,6%"
28.01.2022,9:00,"11,6%",,"12,1%"
28.12.2021,9:00,"12,1%","12,3%","12,6%"
30.11.2021,9:00,"12,6%","12,7%","13,1%"
27.10.2021,9:00,"13,2%",,"13,7%"
30.09.2021,9:00,"13,7%",,"14,1%"
31.08.2021,9:00,"14,1%",,"14,6%"
30.07.2021,9:00,"14,6%",,"14,7%"
30.06.2021,9:00,"14,7%",,"14,7%"
27.05.2021,9:00,"14,7%",,"14,4%"
30.04.2021,9:00,"14,4%","14,5%","14,2%"
31.03.2021,9:00,"14,2%",,"13,9%"
26.02.2021,9:00,"13,9%",,"14,1%"
28.01.2021,9:00,"14,1%",,"14,3%"
29.12.2020,9:00,"14,3%","14,7%","14,6%"
27.11.2020,9:00,"14,6%",,"14,4%"
30.10.2020,9:00,"14,4%","14,2%","13,8%"
30.09.2020,9:00,"13,8%",,"13,3%"
28.08.2020,9:00,"13,3%","13,7%","13,3%"
06.08.2020,9:00,"13,3%","13,2%","12,9%"
30.06.2020,9:00,"12,9%","12,9%","12,6%"
28.05.2020,9:00,"12,6%",,"12,2%"
30.04.2020,9:00,"12,2%",,"11,6%"
31.03.2020,9:00,"11,6%",,"11,2%"
28.02.2020,9:00,"11,2%",,"11,0%"
31.01.2020,9:00,"11,0%","10,8%","11,2%"
27.12.2019,9:00,"11,2%",,"11,6%"
29.11.2019,9:00,"11,6%",,"11,8%"
31.10.2019,9:00,"11,8%",,"11,8%"
27.09.2019,9:00,"11,8%","11,5%","11,8%"
30.08.2019,9:00,"11,8%",,"12,0%"
31.07.2019,9:00,"12,0%","12,1%","12,3%"
28.06.2019,9:00,"12,3%","12,3%","12,5%"
31.05.2019,9:00,"12,5%",,"12,7%"
30.04.2019,9:00,"12,7%","12,8%","12,4%"
29.03.2019,9:00,"12,4%",,"12,0%"
27.02.2019,9:00,"12,0%","11,9%","11,6%"
31.01.2019,8:00,"11,6%",,"11,6%"
